song,artist,start_date,end_date,rank,ranking_list
Perfect,Ed Sheeran,2017-12-23,2017-12-29,1,Billboard Hot 100
Rockstar,Post Malone Featuring 21 Savage,2017-12-23,2017-12-29,2,Billboard Hot 100
Havana,Camila Cabello Featuring Young Thug,2017-12-23,2017-12-29,3,Billboard Hot 100
Gucci Gang,Lil Pump,2017-12-23,2017-12-29,4,Billboard Hot 100
Thunder,Imagine Dragons,2017-12-23,2017-12-29,5,Billboard Hot 100
Too Good At Goodbyes,Sam Smith,2017-12-23,2017-12-29,6,Billboard Hot 100
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2017-12-23,2017-12-29,7,Billboard Hot 100
Bad At Love,Halsey,2017-12-23,2017-12-29,8,Billboard Hot 100
Bodak Yellow (Money Moves),Cardi B,2017-12-23,2017-12-29,9,Billboard Hot 100
What Lovers Do,Maroon 5 Featuring SZA,2017-12-23,2017-12-29,10,Billboard Hot 100
All I Want For Christmas Is You,Mariah Carey,2017-12-23,2017-12-29,11,Billboard Hot 100
Feel It Still,Portugal. The Man,2017-12-23,2017-12-29,12,Billboard Hot 100
Gummo,6ix9ine,2017-12-23,2017-12-29,13,Billboard Hot 100
I Get The Bag,Gucci Mane Featuring Migos,2017-12-23,2017-12-29,14,Billboard Hot 100
MotorSport,"Migos, Nicki Minaj & Cardi B",2017-12-23,2017-12-29,15,Billboard Hot 100
Sorry Not Sorry,Demi Lovato,2017-12-23,2017-12-29,16,Billboard Hot 100
New Rules,Dua Lipa,2017-12-23,2017-12-29,17,Billboard Hot 100
Mi Gente,J Balvin & Willy William Featuring Beyonce,2017-12-23,2017-12-29,18,Billboard Hot 100
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017-12-23,2017-12-29,19,Billboard Hot 100
Wolves,Selena Gomez X Marshmello,2017-12-23,2017-12-29,20,Billboard Hot 100
Him & I,G-Eazy & Halsey,2017-12-23,2017-12-29,21,Billboard Hot 100
Let You Down,NF,2017-12-23,2017-12-29,22,Billboard Hot 100
I Fall Apart,Post Malone,2017-12-23,2017-12-29,23,Billboard Hot 100
Bank Account,21 Savage,2017-12-23,2017-12-29,24,Billboard Hot 100
Shape Of You,Ed Sheeran,2017-12-23,2017-12-29,25,Billboard Hot 100
How Long,Charlie Puth,2017-12-23,2017-12-29,26,Billboard Hot 100
Love.,Kendrick Lamar Featuring Zacari,2017-12-23,2017-12-29,27,Billboard Hot 100
Young Dumb & Broke,Khalid,2017-12-23,2017-12-29,28,Billboard Hot 100
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-23,2017-12-29,29,Billboard Hot 100
Believer,Imagine Dragons,2017-12-23,2017-12-29,30,Billboard Hot 100
Meant To Be,Bebe Rexha & Florida Georgia Line,2017-12-23,2017-12-29,31,Billboard Hot 100
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017-12-23,2017-12-29,32,Billboard Hot 100
Silence,Marshmello Featuring Khalid,2017-12-23,2017-12-29,33,Billboard Hot 100
Unforgettable,French Montana Featuring Swae Lee,2017-12-23,2017-12-29,34,Billboard Hot 100
Sky Walker,Miguel Featuring Travis Scott,2017-12-23,2017-12-29,35,Billboard Hot 100
Attention,Charlie Puth,2017-12-23,2017-12-29,36,Billboard Hot 100
Rockin' Around The Christmas Tree,Brenda Lee,2017-12-23,2017-12-29,37,Billboard Hot 100
The Weekend,SZA,2017-12-23,2017-12-29,38,Billboard Hot 100
End Game,Taylor Swift Featuring Ed Sheeran & Future,2017-12-23,2017-12-29,39,Billboard Hot 100
That's What I Like,Bruno Mars,2017-12-23,2017-12-29,40,Billboard Hot 100
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-23,2017-12-29,41,Billboard Hot 100
The Christmas Song (Merry Christmas To You),Nat King Cole,2017-12-23,2017-12-29,42,Billboard Hot 100
...Ready For It?,Taylor Swift,2017-12-23,2017-12-29,43,Billboard Hot 100
Ric Flair Drip,Offset & Metro Boomin,2017-12-23,2017-12-29,44,Billboard Hot 100
It's The Most Wonderful Time Of The Year,Andy Williams,2017-12-23,2017-12-29,45,Billboard Hot 100
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-23,2017-12-29,46,Billboard Hot 100
A Holly Jolly Christmas,Burl Ives,2017-12-23,2017-12-29,47,Billboard Hot 100
Rubbin Off The Paint,YBN Nahmir,2017-12-23,2017-12-29,48,Billboard Hot 100
Congratulations,Post Malone Featuring Quavo,2017-12-23,2017-12-29,49,Billboard Hot 100
Humble.,Kendrick Lamar,2017-12-23,2017-12-29,50,Billboard Hot 100
What About Us,P!nk,2017-12-23,2017-12-29,51,Billboard Hot 100
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2017-12-23,2017-12-29,52,Billboard Hot 100
Tell Me You Love Me,Demi Lovato,2017-12-23,2017-12-29,53,Billboard Hot 100
Greatest Love Story,LANCO,2017-12-23,2017-12-29,54,Billboard Hot 100
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2017-12-23,2017-12-29,55,Billboard Hot 100
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-23,2017-12-29,56,Billboard Hot 100
Light It Up,Luke Bryan,2017-12-23,2017-12-29,57,Billboard Hot 100
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2017-12-23,2017-12-29,58,Billboard Hot 100
Candy Paint,Post Malone,2017-12-23,2017-12-29,59,Billboard Hot 100
Lemon,N*E*R*D & Rihanna,2017-12-23,2017-12-29,60,Billboard Hot 100
Kooda,6ix9ine,2017-12-23,2017-12-29,61,Billboard Hot 100
Like I Loved You,Brett Young,2017-12-23,2017-12-29,62,Billboard Hot 100
I'll Name The Dogs,Blake Shelton,2017-12-23,2017-12-29,63,Billboard Hot 100
Good Old Days,Macklemore Featuring Kesha,2017-12-23,2017-12-29,64,Billboard Hot 100
When It Rains It Pours,Luke Combs,2017-12-23,2017-12-29,65,Billboard Hot 100
Lights Down Low,MAX Featuring gnash,2017-12-23,2017-12-29,66,Billboard Hot 100
Yours,Russell Dickerson,2017-12-23,2017-12-29,67,Billboard Hot 100
Betrayed,Lil Xan,2017-12-23,2017-12-29,68,Billboard Hot 100
Unforgettable,Thomas Rhett,2017-12-23,2017-12-29,69,Billboard Hot 100
Round Here Buzz,Eric Church,2017-12-23,2017-12-29,70,Billboard Hot 100
MIC Drop,BTS Featuring Desiigner,2017-12-23,2017-12-29,71,Billboard Hot 100
Look What You Made Me Do,Taylor Swift,2017-12-23,2017-12-29,72,Billboard Hot 100
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-23,2017-12-29,73,Billboard Hot 100
The Race,Tay-K,2017-12-23,2017-12-29,74,Billboard Hot 100
Echame La Culpa,Luis Fonsi & Demi Lovato,2017-12-23,2017-12-29,75,Billboard Hot 100
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-23,2017-12-29,76,Billboard Hot 100
Losing Sleep,Chris Young,2017-12-23,2017-12-29,77,Billboard Hot 100
Dusk Till Dawn,Zayn Featuring Sia,2017-12-23,2017-12-29,78,Billboard Hot 100
Love So Soft,Kelly Clarkson,2017-12-23,2017-12-29,79,Billboard Hot 100
I Could Use A Love Song,Maren Morris,2017-12-23,2017-12-29,80,Billboard Hot 100
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",2017-12-23,2017-12-29,81,Billboard Hot 100
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-23,2017-12-29,82,Billboard Hot 100
Mayores,Becky G Featuring Bad Bunny,2017-12-23,2017-12-29,83,Billboard Hot 100
You Broke Up With Me,Walker Hayes,2017-12-23,2017-12-29,84,Billboard Hot 100
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2017-12-23,2017-12-29,85,Billboard Hot 100
When We,Tank,2017-12-23,2017-12-29,86,Billboard Hot 100
Jocelyn Flores,XXXTENTACION,2017-12-23,2017-12-29,87,Billboard Hot 100
Written In The Sand,Old Dominion,2017-12-23,2017-12-29,88,Billboard Hot 100
Too Much To Ask,Niall Horan,2017-12-23,2017-12-29,89,Billboard Hot 100
Broken Halos,Chris Stapleton,2017-12-23,2017-12-29,90,Billboard Hot 100
All On Me,Devin Dawson,2017-12-23,2017-12-29,91,Billboard Hot 100
Transportin',Kodak Black,2017-12-23,2017-12-29,92,Billboard Hot 100
Juice,Yo Gotti,2017-12-23,2017-12-29,93,Billboard Hot 100
Ask Me How I Know,Garth Brooks,2017-12-23,2017-12-29,94,Billboard Hot 100
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,2017-12-23,2017-12-29,95,Billboard Hot 100
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,2017-12-23,2017-12-29,96,Billboard Hot 100
Marry Me,Thomas Rhett,2017-12-23,2017-12-29,97,Billboard Hot 100
Five More Minutes,Scotty McCreery,2017-12-23,2017-12-29,98,Billboard Hot 100
Criminal,Natti Natasha x Ozuna,2017-12-23,2017-12-29,99,Billboard Hot 100
Sauce It Up,Lil Uzi Vert,2017-12-23,2017-12-29,100,Billboard Hot 100
